"Fund_ID","Fund_Name","Fund_Manager","Fund_Domicile","Year_Launched","Fund_Size_AUM_USD","Asset_Class","Fund_Type","Primary_Impact_Theme","Target_Geographies","ESG_Frameworks_Used","Impact_Frameworks_Used","External_Labels","Impact_Reporting_Frequency","Target_Return_%","Net_IRR_%","Gross_IRR_%","TVPI","DPI","Fund_Status","Data_Quality","Refined_Impact_Score","Refined_Governance_Score","Refined_Measurement_Score","Refined_Financial_Transparency_Score","Refined_Total_Score","Refined_Tier"
"F001","Triodos Microfinance Fund","Triodos IM","Netherlands","2009","500000000","Private Debt","FoF+Direct","Financial Inclusion","Emerging Markets","SFDR Art 9","IRIS+,GIIN","Yes","Annual","","","","","","Active","High","15","15","25","5","60","Moderate Transparency"
"F002","Schroder ISF European Equity Impact","Schroders","Luxembourg","2020","1000000000","Listed Equity","Direct","Social+Climate","Europe","SFDR Art 9, TCFD","Proprietary SDG framework","ISR Label","Annual","","","","","","Active","High","15","20","25","15","75","Structured Impact"
"F003","Triodos Renewables Europe Fund","Triodos IM","Netherlands","2006","300000000","Private Equity","Direct","Climate","Europe","SFDR Art 9","IRIS+","Yes","Annual","","","","","","Active","High","15","15","25","5","60","Moderate Transparency"
"F004","Mirova Europe Sustainable Equity","Mirova","France","2012","800000000","Listed Equity","Direct","Climate+Social","Europe","SFDR Art 9, TCFD","GIIN standards","Greenfin Label","Annual","","","","","","Active","High","15","20","25","15","75","Structured Impact"
"F005","BlueOrchard Microfinance Leaders","BlueOrchard","Luxembourg","2007","450000000","Private Debt","Direct","Financial Inclusion","Emerging Markets","SFDR Art 9","IRIS+, IMP","Yes","Annual","","","","","","Active","High","15","15","25","5","60","Moderate Transparency"
"F006","Actiam Impact Fund Netherlands","Actiam","Netherlands","2015","250000000","Private Equity","Direct","Social Impact","Netherlands","SFDR Art 9","Proprietary framework","Yes","Annual","","","","","","Active","High","15","15","25","5","60","Moderate Transparency"
"F007","BNP Paribas Parvest Climate Impact","BNP Paribas AM","Luxembourg","2009","471000000","Public Equity","Direct","Climate","Europe+Global","SFDR Art 9, TCFD","Climate framework","Towards Sustainability","Annual","","","","","","Active","High","15","20","25","15","75","Structured Impact"
"F008","PhiTrust Partenaires","PhiTrust","France","2006","300000000","Private Equity","Direct","Social+Economic","Africa","PRI framework","GIIN","Yes","Annual","","","","","","Active","High","15","15","25","5","60","Moderate Transparency"
"F009","AENU Climate Tech Fund","AENU VC","Germany","2021","150000000","Venture Capital","Direct","Climate","Europe","SFDR Art 9","Proprietary","No","Annual","","","","","","Active","Medium","15","15","18","5","53","Limited Disclosure"
"F010","Green Gateway Fund","Wermuth Asset Mgmt","Germany","2011","110000000","Private Equity","Direct","Climate+Energy","Europe","SFDR Art 9","IRIS+","Yes","Annual","","","","","","Closed","High","15","15","25","5","60","Moderate Transparency"
